poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes,geography_version_id,candidate_set_version,question_id,frame,recruitment,language,design_effect,leaners_included,multiway,questionnaire_hash,dem_candidate_id,dem_candidate_name,rep_candidate_id,rep_candidate_name,matchup_id,hypothetical,contest_kind,seat_name,election_stage
poll-2014-AK-10-106,study-2014-AK-Marist-2014-07-21,1,Marist,none,synthetic://fixtures/polls,da9e38e461427d82705fc5b3808eb6bf72387a70490a1df0969d8374729331a6,2014-07-19,2014-07-21,2014-07-21,,2026-09-18T01:50:26.276882+00:00,2014-07-21,,2014-07-21,2014-07-21,senate-2014,US_SENATE,AK,senate-2014-AK,RV,500,Live Phone,43.04,56.96,4.57,1.79,-13.924,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-0-86,study-2014-AL-Trafalgar-2014-08-10,1,Trafalgar,none,synthetic://fixtures/polls,cfe80d7e75f23208425c9422bcfb97f77e0cdd68cebdebe181f919b56f945a41,2014-08-07,2014-08-10,2014-08-11,,2026-09-18T01:50:26.276882+00:00,2014-08-11,,2014-08-11,2014-08-10,senate-2014,US_SENATE,AL,senate-2014-AL,LV,500,Online,37.53,62.47,2.9,2.01,-24.948,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-1-93,study-2014-AL-Siena-tracker,1,Siena,none,synthetic://fixtures/polls,2510fdd25717b170fde40f2fc5e7a442a2ced3084ad2d05586868c6ba4bac827,2014-09-21,2014-09-24,2014-09-25,,2026-09-18T01:50:26.276882+00:00,2014-09-25,,2014-09-25,2014-09-24,senate-2014,US_SENATE,AL,senate-2014-AL,RV,750,Online,45.22,54.78,4.49,1.29,-9.563,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-2-96,study-2014-AL-Siena-tracker,1,Siena,none,synthetic://fixtures/polls,86eca1e8648c5eab04176e53616ecccb05bfa11c6fcfa6e65a2b80c6c2bc43dd,2014-09-20,2014-09-23,2014-09-24,,2026-09-18T01:50:26.276882+00:00,2014-09-24,,2014-09-24,2014-09-23,senate-2014,US_SENATE,AL,senate-2014-AL,RV,500,Live Phone,36.81,63.19,4.67,0.64,-26.372,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-3-2,study-2014-AL-Siena-tracker,1,Siena,none,synthetic://fixtures/polls,daada2ff13d6d741cab335439b0f4aa02fb55628b30c9f21f77d5b4a8886d973,2014-09-19,2014-09-22,2014-09-23,,2026-09-18T01:50:26.277385+00:00,2014-09-23,,2014-09-23,2014-09-22,senate-2014,US_SENATE,AL,senate-2014-AL,LV,900,Live Phone,37.93,62.07,4.04,1.12,-24.149,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-4-69,study-2014-AL-Trafalgar-2014-08-27,1,Trafalgar,none,synthetic://fixtures/polls,a4e4cca6f22672fc09f506afd6e01f84aa47a6587e2e4c9d14949c3bc2495eb6,2014-08-25,2014-08-27,2014-08-28,,2026-09-18T01:50:26.277385+00:00,2014-08-28,,2014-08-28,2014-08-27,senate-2014,US_SENATE,AL,senate-2014-AL,LV,1200,IVR/Online,40.5,59.5,3.29,1.61,-19.0,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-5-120,study-2014-AL-RMG Research-2014-07-07,1,RMG Research,none,synthetic://fixtures/polls,c92c2693d13194dd5abd510b5d4af3db652174de629c630c08216d8b6575f932,2014-07-05,2014-07-07,2014-07-07,,2026-09-18T01:50:26.277385+00:00,2014-07-07,,2014-07-07,2014-07-07,senate-2014,US_SENATE,AL,senate-2014-AL,LV,750,Live Phone,37.16,62.84,5.78,0.64,-25.685,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-6-43,study-2014-AL-RMG Research-2014-09-22,1,RMG Research,none,synthetic://fixtures/polls,946b0976adcd111c8267cb621200f038a1d93ae2aeb675b8ed81806263c130b3,2014-09-20,2014-09-22,2014-09-22,,2026-09-18T01:50:26.277385+00:00,2014-09-22,,2014-09-22,2014-09-22,senate-2014,US_SENATE,AL,senate-2014-AL,RV,1200,Online,41.62,58.38,4.29,0.9,-16.752,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-7-145,study-2014-AL-YouGov-2014-06-12,1,YouGov,none,synthetic://fixtures/polls,62f4e2a8aaaee0f7785c40f9f49861a98dfbc8a3eb3ee7b479af00f3f1aa46b4,2014-06-08,2014-06-12,2014-06-13,,2026-09-18T01:50:26.277385+00:00,2014-06-13,,2014-06-13,2014-06-12,senate-2014,US_SENATE,AL,senate-2014-AL,LV,750,Online,34.63,65.37,2.95,0.29,-30.731,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-8-104,study-2014-AL-RMG Research-2014-07-23,1,RMG Research,none,synthetic://fixtures/polls,ef09f5b28b3cb946178e89957c9921aeb83a0b7c95b8289dbe0f2c383f38bd5f,2014-07-19,2014-07-23,2014-07-24,,2026-09-18T01:50:26.277385+00:00,2014-07-24,,2014-07-24,2014-07-23,senate-2014,US_SENATE,AL,senate-2014-AL,LV,600,Live Phone,34.66,65.34,3.63,1.09,-30.684,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-9-48,study-2014-AL-Quinnipiac-2014-09-17,1,Quinnipiac,none,synthetic://fixtures/polls,d755627e9768fadf08d649fd2d610dc287d8c9fe628e50e431666b257e779760,2014-09-13,2014-09-17,2014-09-17,,2026-09-18T01:50:26.277385+00:00,2014-09-17,,2014-09-17,2014-09-17,senate-2014,US_SENATE,AL,senate-2014-AL,LV,400,IVR/Online,33.14,66.86,3.74,1.41,-33.717,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-10-50,study-2014-AL-YouGov-2014-09-15,1,YouGov,none,synthetic://fixtures/polls,8ffbf719c22e16fc14f410c40c96ec5902e3a822ba29e1e7e06487f5449d6127,2014-09-12,2014-09-15,2014-09-16,,2026-09-18T01:50:26.277385+00:00,2014-09-16,,2014-09-16,2014-09-15,senate-2014,US_SENATE,AL,senate-2014-AL,LV,900,Online,41.91,58.09,4.89,0.58,-16.186,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-11-145,study-2014-AL-Marist-2014-06-12,1,Marist,none,synthetic://fixtures/polls,5d3915cfc5ff47211266a22ba25799807e6708ab41ccacf5d5c92ad21ed52fa3,2014-06-09,2014-06-12,2014-06-13,,2026-09-18T01:50:26.277385+00:00,2014-06-13,,2014-06-13,2014-06-12,senate-2014,US_SENATE,AL,senate-2014-AL,LV,900,Online,40.72,59.28,0.88,1.61,-18.569,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-12-41,study-2014-AL-RMG Research-2014-09-24,1,RMG Research,none,synthetic://fixtures/polls,ec9a0a21fef3de80b9f534e8494bd0d2d3214df66ea5debe053a867d1fc500f3,2014-09-22,2014-09-24,2014-09-24,,2026-09-18T01:50:26.277385+00:00,2014-09-24,,2014-09-24,2014-09-24,senate-2014,US_SENATE,AL,senate-2014-AL,LV,1200,IVR/Online,39.2,60.8,0.8,0.87,-21.607,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-13-52,study-2014-AL-Trafalgar-2014-09-13,1,Trafalgar,none,synthetic://fixtures/polls,1557c7376cf96e4ec62c42f56d26a76edbb6fd12dd401590aaad31e5bcbda8a6,2014-09-10,2014-09-13,2014-09-13,,2026-09-18T01:50:26.277385+00:00,2014-09-13,,2014-09-13,2014-09-13,senate-2014,US_SENATE,AL,senate-2014-AL,LV,400,IVR/Online,39.61,60.39,3.17,0.81,-20.787,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-14-38,study-2014-AL-Siena-2014-09-27,1,Siena,none,synthetic://fixtures/polls,18b0d4f640ee2a1be789a364e34a829ca058df8672e22cfa6a09db607dc2e3f7,2014-09-24,2014-09-27,2014-09-27,,2026-09-18T01:50:26.277385+00:00,2014-09-27,,2014-09-27,2014-09-27,senate-2014,US_SENATE,AL,senate-2014-AL,LV,1200,IVR/Online,39.45,60.55,2.94,0.83,-21.107,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-15-85,study-2014-AL-RMG Research-2014-08-11,1,RMG Research,none,synthetic://fixtures/polls,185e74c3e64f479fae524ebdf401c2b7fe917889ba9229208f45bb2c9bad0fb9,2014-08-09,2014-08-11,2014-08-12,,2026-09-18T01:50:26.277385+00:00,2014-08-12,,2014-08-12,2014-08-11,senate-2014,US_SENATE,AL,senate-2014-AL,LV,500,Live Phone,35.05,64.95,4.06,0.94,-29.897,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AL-16-99,study-2014-AL-RMG Research-2014-07-28,1,RMG Research,none,synthetic://fixtures/polls,0a500701c49b15fa552c966c8b536aa00fa81be7444a6b2cea60e99768174071,2014-07-26,2014-07-28,2014-07-29,,2026-09-18T01:50:26.277385+00:00,2014-07-29,,2014-07-29,2014-07-28,senate-2014,US_SENATE,AL,senate-2014-AL,LV,900,IVR/Online,38.7,61.3,4.39,1.4,-22.609,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-0-30,study-2014-AR-YouGov-2014-10-05,1,YouGov,none,synthetic://fixtures/polls,83b233c4a47d5bf77964382f2ddb4670b4918c1636d97ee2e55b170295140e0e,2014-10-02,2014-10-05,2014-10-05,,2026-09-18T01:50:26.277385+00:00,2014-10-05,,2014-10-05,2014-10-05,senate-2014,US_SENATE,AR,senate-2014-AR,LV,500,IVR/Online,36.42,63.58,2.14,0.48,-27.152,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-1-129,study-2014-AR-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,10fe4d6cac0e33fe5f776ef636a67ff32ce88af22e42116fbbc9cc440eb5d791,2014-10-11,2014-10-14,2014-10-15,,2026-09-18T01:50:26.277385+00:00,2014-10-15,,2014-10-15,2014-10-14,senate-2014,US_SENATE,AR,senate-2014-AR,RV,750,Live Phone,36.99,63.01,5.41,0.23,-26.015,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-2-54,study-2014-AR-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,6af002b8f66d4dfd96a5ddbb9a83e4788f0933b9f7d3851d2e39bd4ea50f1b27,2014-10-10,2014-10-13,2014-10-14,,2026-09-18T01:50:26.277385+00:00,2014-10-14,,2014-10-14,2014-10-13,senate-2014,US_SENATE,AR,senate-2014-AR,LV,500,Live Phone,42.44,57.56,4.54,1.64,-15.112,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-3-101,study-2014-AR-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,36afeb850376681a49ef60ea81bd8fb0a20dc772e76b66aa033be85ad3f6bac8,2014-10-09,2014-10-12,2014-10-13,,2026-09-18T01:50:26.277385+00:00,2014-10-13,,2014-10-13,2014-10-12,senate-2014,US_SENATE,AR,senate-2014-AR,RV,600,Live Phone,39.28,60.72,1.2,0.95,-21.437,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-4-22,study-2014-AR-SurveyUSA-2014-10-13,1,SurveyUSA,none,synthetic://fixtures/polls,d58794ab85bb5fb0db4ad2a4b778811ba3424c3e20c7abc11cae0849b563c125,2014-10-09,2014-10-13,2014-10-14,,2026-09-18T01:50:26.277385+00:00,2014-10-14,,2014-10-14,2014-10-13,senate-2014,US_SENATE,AR,senate-2014-AR,RV,750,IVR/Online,42.85,57.15,4.42,1.04,-14.292,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-5-75,study-2014-AR-YouGov-2014-08-21,1,YouGov,none,synthetic://fixtures/polls,3d8b203bb0f5ea0cc1523024a2ccfb6e250bfaabd9e9e5a5f8c39356dded5f5a,2014-08-17,2014-08-21,2014-08-22,,2026-09-18T01:50:26.277385+00:00,2014-08-22,,2014-08-22,2014-08-21,senate-2014,US_SENATE,AR,senate-2014-AR,RV,400,IVR/Online,44.3,55.7,4.17,0.78,-11.394,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-6-103,study-2014-AR-Emerson-2014-07-24,1,Emerson,none,synthetic://fixtures/polls,508ff5777618786c55fea8ac291f1ae4be559a41d45fee600351be12f6dd56a6,2014-07-21,2014-07-24,2014-07-25,,2026-09-18T01:50:26.277385+00:00,2014-07-25,,2014-07-25,2014-07-24,senate-2014,US_SENATE,AR,senate-2014-AR,LV,750,Online,41.18,58.82,2.83,0.14,-17.63,False,include,,fixtures-v1,2026-09-18T01:50:26.277385+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-7-47,study-2014-AR-Trafalgar-2014-09-18,1,Trafalgar,none,synthetic://fixtures/polls,52712ca587fbe1dd31a7604549d136069490fdefc8eb99b076c871b65136f35a,2014-09-14,2014-09-18,2014-09-19,,2026-09-18T01:50:26.278390+00:00,2014-09-19,,2014-09-19,2014-09-18,senate-2014,US_SENATE,AR,senate-2014-AR,LV,1200,IVR/Online,35.62,64.38,1.77,0.67,-28.77,False,include,,fixtures-v1,2026-09-18T01:50:26.278390+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-8-147,study-2014-AR-Marist-2014-06-10,1,Marist,none,synthetic://fixtures/polls,9cb5ecbd9cd37db40a87b27b84eb280b126ad5f2357b78345b6642578503a29f,2014-06-06,2014-06-10,2014-06-10,,2026-09-18T01:50:26.278390+00:00,2014-06-10,,2014-06-10,2014-06-10,senate-2014,US_SENATE,AR,senate-2014-AR,LV,500,Live Phone,35.33,64.67,4.06,0.9,-29.346,False,include,,fixtures-v1,2026-09-18T01:50:26.278390+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AR-9-57,study-2014-AR-Quinnipiac-2014-09-08,1,Quinnipiac,none,synthetic://fixtures/polls,f203e4b033c2615702b85198b7629d27a29b48da052002e40812ea8c96154d6d,2014-09-04,2014-09-08,2014-09-09,,2026-09-18T01:50:26.278390+00:00,2014-09-09,,2014-09-09,2014-09-08,senate-2014,US_SENATE,AR,senate-2014-AR,LV,500,Online,40.0,60.0,2.23,0.48,-20.008,False,include,,fixtures-v1,2026-09-18T01:50:26.278390+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-0-33,study-2014-CO-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,388723469af0bd5c5d06a017c461d577d9016bcb160411a37956d5437fde5ac2,2014-10-04,2014-10-07,2014-10-08,,2026-09-18T01:50:26.278390+00:00,2014-10-08,,2014-10-08,2014-10-07,senate-2014,US_SENATE,CO,senate-2014-CO,LV,600,IVR/Online,56.49,43.51,6.49,1.03,12.984,False,include,,fixtures-v1,2026-09-18T01:50:26.278390+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-1-25,study-2014-CO-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,feaff83c1503e2190ed02b6a10155960dc7d950772c7c206205d78254edad0bf,2014-10-03,2014-10-06,2014-10-07,,2026-09-18T01:50:26.278390+00:00,2014-10-07,,2014-10-07,2014-10-06,senate-2014,US_SENATE,CO,senate-2014-CO,RV,400,IVR/Online,49.31,50.69,6.07,0.86,-1.374,False,include,,fixtures-v1,2026-09-18T01:50:26.278390+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-2-9,study-2014-CO-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,460cc4dafc872afe96e8f7c3335f57d11daf4aa8f6942f3abc97088736ea3eb2,2014-10-02,2014-10-05,2014-10-06,,2026-09-18T01:50:26.278390+00:00,2014-10-06,,2014-10-06,2014-10-05,senate-2014,US_SENATE,CO,senate-2014-CO,RV,900,Live Phone,54.25,45.75,4.91,0.9,8.498,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-3-125,study-2014-CO-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,5997f578879b99b7f229a90eeabaee19a414226abc44d4200293a4dc0240ea25,2014-10-01,2014-10-04,2014-10-05,,2026-09-18T01:50:26.278898+00:00,2014-10-05,,2014-10-05,2014-10-04,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,IVR/Online,47.63,52.37,0.28,0.67,-4.731,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-4-138,study-2014-CO-Trafalgar-2014-06-19,1,Trafalgar,none,synthetic://fixtures/polls,f7732db19031d0cc7c17fd1eadd7db3a9f9b52538d9b3fa1b0ee5f32c8a6e26a,2014-06-16,2014-06-19,2014-06-19,,2026-09-18T01:50:26.278898+00:00,2014-06-19,,2014-06-19,2014-06-19,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,IVR/Online,47.19,52.81,5.27,0.66,-5.618,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-5-40,study-2014-CO-Siena-2014-09-25,1,Siena,none,synthetic://fixtures/polls,649cd78e3949414ac3f4887f843f069f9b9075b4ad38bc081ead8395a166bdb5,2014-09-22,2014-09-25,2014-09-26,,2026-09-18T01:50:26.278898+00:00,2014-09-26,,2014-09-26,2014-09-25,senate-2014,US_SENATE,CO,senate-2014-CO,LV,900,IVR/Online,50.78,49.22,4.75,1.32,1.559,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-6-122,study-2014-CO-PPP-2014-07-05,1,PPP,none,synthetic://fixtures/polls,e1afcf169421b38a0e7327c12d2c647ac777c7f020d3ad2a30b5e789ae345b8b,2014-07-01,2014-07-05,2014-07-05,,2026-09-18T01:50:26.278898+00:00,2014-07-05,,2014-07-05,2014-07-05,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,Live Phone,54.87,45.13,4.89,0.96,9.732,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-7-12,study-2014-CO-Siena-2014-10-23,1,Siena,none,synthetic://fixtures/polls,e3d0f3595962983c255688b138ece6c434e07c47fe52c4edb7fd861316c5f459,2014-10-20,2014-10-23,2014-10-24,,2026-09-18T01:50:26.278898+00:00,2014-10-24,,2014-10-24,2014-10-23,senate-2014,US_SENATE,CO,senate-2014-CO,LV,750,Online,55.11,44.89,3.07,1.46,10.23,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-8-36,study-2014-CO-Quinnipiac-2014-09-29,1,Quinnipiac,none,synthetic://fixtures/polls,89f73384faef5f55a4b925111ef66571c92470a5ce7c447aee1c3cbb14193885,2014-09-25,2014-09-29,2014-09-30,,2026-09-18T01:50:26.278898+00:00,2014-09-30,,2014-09-30,2014-09-29,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,Online,53.03,46.97,3.21,1.12,6.054,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-9-134,study-2014-CO-RMG Research-2014-06-23,1,RMG Research,none,synthetic://fixtures/polls,8d304101e49793a77a158bb099d86e457d1a4c907739dde5683c985695994c49,2014-06-21,2014-06-23,2014-06-23,,2026-09-18T01:50:26.278898+00:00,2014-06-23,,2014-06-23,2014-06-23,senate-2014,US_SENATE,CO,senate-2014-CO,LV,750,Live Phone,48.3,51.7,5.0,0.01,-3.391,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-CO-10-82,study-2014-CO-RMG Research-2014-08-14,1,RMG Research,none,synthetic://fixtures/polls,b40b5b8db19d78632c8ebac219e2a002a025e8c9d9fac7e57d3c781f67059a81,2014-08-12,2014-08-14,2014-08-14,,2026-09-18T01:50:26.278898+00:00,2014-08-14,,2014-08-14,2014-08-14,senate-2014,US_SENATE,CO,senate-2014-CO,RV,400,Live Phone,50.64,49.36,3.94,1.46,1.273,False,include,,fixtures-v1,2026-09-18T01:50:26.278898+00:00,,,,,,,,,,,,,,,,,,,,
